ime,datum_rojstva,leto_rojstva,država_rojstva,dan_smrti,leto_smrti,država_smrti,področje_nagrade,leto_nagrade
Romain Rolland,29 January,1866,France,30 December,1944,France,Literature,1915
Carl Gustaf Verner von Heidenstam,6 July,1859,Sweden,20 May,1940,Sweden,Literature,1916
Karl Adolph Gjellerup,2 June,1857,Denmark,11 October,1919,Germany,Literature,1917
Henrik Pontoppidan,24 July,1857,Denmark,21 August,1943,Denmark,Literature,1917
Carl Friedrich Georg Spitteler,24 April,1845,Switzerland,29 December,1924,Switzerland,Literature,1919
Knut Pedersen Hamsun,4 August,1859,Norway,19 February,1952,Norway,Literature,1920
Anatole France,16 April,1844,France,12 October,1924,France,Literature,1921
Jacinto Benavente,12 August,1866,Spain,14 July,1954,Spain,Literature,1922
William Butler Yeats,13 June,1865,Ireland,28 January,1939,France,Literature,1923
Władysław Stanisław Reymont,7 May,1867,Poland,5 December,1925,Poland,Literature,1924
George Bernard Shaw,26 July,1856,Ireland,2 November,1950,United Kingdom,Literature,1925
Grazia Deledda,27 September,1871,Italy,15 August,1936,Italy,Literature,1926
Henri Bergson,18 October,1859,France,4 January,1941,France,Literature,1927
Sigrid Undset,20 May,1882,Denmark,10 June,1949,Norway,Literature,1928
Thomas Mann,6 June,1875,Germany,12 August,1955,Switzerland,Literature,1929
Sinclair Lewis,7 February,1885,USA,10 January,1951,Italy,Literature,1930
Erik Axel Karlfeldt,20 July,1864,Sweden,8 April,1931,Sweden,Literature,1931
John Galsworthy,14 August,1867,United Kingdom,31 January,1933,United Kingdom,Literature,1932
Ivan Alekseyevich Bunin,22 October,1870,Russia,8 November,1953,France,Literature,1933
Luigi Pirandello,28 June,1867,Italy,10 December,1936,Italy,Literature,1934
Eugene Gladstone O&#039;Neill,16 October,1888,USA,27 November,1953,USA,Literature,1936
Roger Martin du Gard,23 March,1881,France,22 August,1958,France,Literature,1937
Pearl Buck,26 June,1892,USA,6 March,1973,USA,Literature,1938
Frans Eemil Sillanpää,16 September,1888,Finland,3 June,1964,Finland,Literature,1939
Johannes Vilhelm Jensen,20 January,1873,Denmark,25 November,1950,Denmark,Literature,1944
Gabriela Mistral,7 April,1889,Chile,10 January,1957,USA,Literature,1945
Hermann Hesse,2 July,1877,Germany,9 August,1962,Switzerland,Literature,1946
André Paul Guillaume Gide,22 November,1869,France,19 February,1951,France,Literature,1947
Thomas Stearns Eliot,26 September,1888,USA,4 January,1965,United Kingdom,Literature,1948
William Faulkner,25 September,1897,USA,6 July,1962,USA,Literature,1949
Earl (Bertrand Arthur William) Russell,18 May,1872,United Kingdom,2 February,1970,United Kingdom,Literature,1950
Pär Fabian Lagerkvist,23 May,1891,Sweden,11 July,1974,Sweden,Literature,1951
François Mauriac,11 October,1885,France,1 September,1970,France,Literature,1952
Sir Winston Leonard Spencer Churchill,30 November,1874,United Kingdom,24 January,1965,United Kingdom,Literature,1953
Ernest Miller Hemingway,21 July,1899,USA,2 July,1961,USA,Literature,1954
Halldór Kiljan Laxness,23 April,1902,Iceland,8 February,1998,Iceland,Literature,1955
Juan Ramón Jiménez,24 December,1881,Spain,29 May,1958,Puerto Rico,Literature,1956
Albert Camus,7 November,1913,Algeria,4 January,1960,France,Literature,1957
Boris Leonidovich Pasternak,10 February,1890,Russia,30 May,1960,Russia,Literature,1958
Salvatore Quasimodo,20 August,1901,Italy,14 June,1968,Italy,Literature,1959
Saint-John Perse,31 May,1887,France,20 September,1975,France,Literature,1960
Ivo Andrić,10 October,1892,Bosnia and Herzegovina,13 March,1975,Serbia,Literature,1961
John Steinbeck,27 February,1902,USA,20 December,1968,USA,Literature,1962
Giorgos Seferis,13 March,1900,Turkey,20 September,1971,Greece,Literature,1963
Jean-Paul Sartre,21 June,1905,France,15 April,1980,France,Literature,1964
Mikhail Aleksandrovich Sholokhov,24 May,1905,Russia,21 February,1984,Russia,Literature,1965
Shmuel Yosef Agnon,17 July,1888,Ukraine,17 February,1970,Israel,Literature,1966
Nelly Sachs,10 December,1891,Germany,12 May,1970,Sweden,Literature,1966
Miguel Angel Asturias,19 October,1899,Guatemala,9 June,1974,Spain,Literature,1967
Yasunari Kawabata,11 June,1899,Japan,16 April,1972,Japan,Literature,1968
Samuel Beckett,13 April,1906,Ireland,22 December,1989,France,Literature,1969
Aleksandr Isayevich Solzhenitsyn,11 December,1918,Russia,3 August,2008,Russia,Literature,1970
Pablo Neruda,12 July,1904,Chile,23 September,1973,Chile,Literature,1971
Heinrich Böll,21 December,1917,Germany,16 July,1985,Germany,Literature,1972
Patrick White,28 May,1912,United Kingdom,30 September,1990,Australia,Literature,1973
Eyvind Johnson,29 July,1900,Sweden,25 August,1976,Sweden,Literature,1974
Harry Martinson,6 May,1904,Sweden,11 February,1978,Sweden,Literature,1974
Eugenio Montale,12 October,1896,Italy,12 September,1981,Italy,Literature,1975
Saul Bellow,10 June,1915,Canada,5 April,2005,USA,Literature,1976
Vicente Aleixandre,26 April,1898,Spain,14 December,1984,Spain,Literature,1977
Isaac Bashevis Singer,14 July,1904,Poland,24 July,1991,USA,Literature,1978
Odysseus Elytis,2 November,1911,Greece,18 March,1996,Greece,Literature,1979
Czesław Miłosz,30 June,1911,Lithuania,14 August,2004,Poland,Literature,1980
Elias Canetti,25 July,1905,Bulgaria,14 August,1994,Switzerland,Literature,1981
Gabriel García Márquez,6 March,1927,Colombia,17 April,2014,Mexico,Literature,1982
William Golding,19 September,1911,United Kingdom,19 June,1993,United Kingdom,Literature,1983
Jaroslav Seifert,23 September,1901,Czech Republic,10 January,1986,Czech Republic,Literature,1984
Claude Simon,10 October,1913,Madagascar,6 July,2005,France,Literature,1985
Wole Soyinka,13 July,1934,Nigeria,/,/,/,Literature,1986
Joseph Brodsky,24 May,1940,Russia,28 January,1996,USA,Literature,1987
Naguib Mahfouz,11 December,1911,Egypt,30 August,2006,Egypt,Literature,1988
Camilo José Cela,11 May,1916,Spain,17 January,2002,Spain,Literature,1989
Octavio Paz,31 March,1914,Mexico,19 April,1998,Mexico,Literature,1990
Nadine Gordimer,20 November,1923,South Africa,13 July,2014,South Africa,Literature,1991
Derek Walcott,23 January,1930,Saint Lucia,17 March,2017,Saint Lucia,Literature,1992
Toni Morrison,18 February,1931,USA,5 August,2019,USA,Literature,1993
Kenzaburo Oe,31 January,1935,Japan,3 March,2023,Japan,Literature,1994
Seamus Heaney,13 April,1939,Northern Ireland,30 August,2013,Ireland,Literature,1995
Wisława Szymborska,2 July,1923,Poland,1 February,2012,Poland,Literature,1996
Dario Fo,24 March,1926,Italy,13 October,2016,Italy,Literature,1997
José Saramago,16 November,1922,Portugal,18 June,2010,Spain,Literature,1998
Günter Grass,16 October,1927,Poland,13 April,2015,Germany,Literature,1999
Gao Xingjian,4 January,1940,China,/,/,/,Literature,2000
Sir Vidiadhar Surajprasad Naipaul,17 August,1932,Trinidad and Tobago,11 August,2018,United Kingdom,Literature,2001
Imre Kertész,9 November,1929,Hungary,31 March,2016,Hungary,Literature,2002
John M. Coetzee,9 February,1940,South Africa,/,/,/,Literature,2003
Elfriede Jelinek,20 October,1946,Austria,/,/,/,Literature,2004
Harold Pinter,10 October,1930,United Kingdom,24 December,2008,United Kingdom,Literature,2005
Orhan Pamuk,7 June,1952,Turkey,/,/,/,Literature,2006
Doris Lessing,22 October,1919,Iran,17 November,2013,United Kingdom,Literature,2007
Jean-Marie Gustave Le Clézio,13 April,1940,France,/,/,/,Literature,2008
Herta Müller,17 August,1953,Romania,/,/,/,Literature,2009
Mario Vargas Llosa,28 March,1936,Peru,13 April,2025,Peru,Literature,2010
Tomas Tranströmer,15 April,1931,Sweden,26 March,2015,Sweden,Literature,2011
Mo Yan,25 March,1956,China,/,/,/,Literature,2012
Alice Munro,10 July,1931,Canada,13 May,2024,Canada,Literature,2013
Patrick Modiano,30 July,1945,France,/,/,/,Literature,2014
Svetlana Alexievich,31 May,1948,Ukraine,/,/,/,Literature,2015
Bob Dylan,24 May,1941,USA,/,/,/,Literature,2016
Kazuo Ishiguro,8 November,1954,Japan,/,/,/,Literature,2017
Olga Tokarczuk,29 January,1962,Poland,/,/,/,Literature,2018
Peter Handke,6 December,1942,Austria,/,/,/,Literature,2019
Louise Glück,22 April,1943,USA,13 October,2023,USA,Literature,2020
Abdulrazak Gurnah,/,1948,/,/,/,/,Literature,2021
Annie Ernaux,1 September,1940,France,/,/,/,Literature,2022
Jon Fosse,29 September,1959,Norway,/,/,/,Literature,2023
Han Kang,27 November,1970,South Korea,/,/,/,Literature,2024
László Krasznahorkai,5 January,1954,Hungary,/,/,/,Literature,2025
Emil Adolf von Behring,15 March,1854,Poland,31 March,1917,Germany,Physiology or Medicine,1901
Ronald Ross,13 May,1857,India,16 September,1932,United Kingdom,Physiology or Medicine,1902
Niels Ryberg Finsen,15 December,1860,Denmark,24 September,1904,Denmark,Physiology or Medicine,1903
Ivan Petrovich Pavlov,14 September,1849,Russia,27 February,1936,Russia,Physiology or Medicine,1904
Robert Koch,11 December,1843,Germany,27 May,1910,Germany,Physiology or Medicine,1905
Santiago Ramón y Cajal,1 May,1852,Spain,17 October,1934,Spain,Physiology or Medicine,1906
Camillo Golgi,7 July,1843,Italy,21 January,1926,Italy,Physiology or Medicine,1906
Charles Louis Alphonse Laveran,18 June,1845,France,18 May,1922,France,Physiology or Medicine,1907
Paul Ehrlich,14 March,1854,Poland,20 August,1915,Germany,Physiology or Medicine,1908
Ilya Ilyich Mechnikov,15 May,1845,Ukraine,15 July,1916,France,Physiology or Medicine,1908
Emil Theodor Kocher,25 August,1841,Switzerland,27 July,1917,Switzerland,Physiology or Medicine,1909
Albrecht Kossel,16 September,1853,Germany,5 July,1927,Germany,Physiology or Medicine,1910
Allvar Gullstrand,5 June,1862,Sweden,28 July,1930,Sweden,Physiology or Medicine,1911
Alexis Carrel,28 June,1873,France,5 November,1944,France,Physiology or Medicine,1912
Charles Robert Richet,26 August,1850,France,4 December,1935,France,Physiology or Medicine,1913
Robert Bárány,22 April,1876,Austria,8 April,1936,Sweden,Physiology or Medicine,1914
Jules Bordet,13 June,1870,Belgium,6 April,1961,Belgium,Physiology or Medicine,1919
Schack August Steenberg Krogh,15 November,1874,Denmark,13 September,1949,Denmark,Physiology or Medicine,1920
Archibald Vivian Hill,26 September,1886,United Kingdom,3 June,1977,United Kingdom,Physiology or Medicine,1922
Otto Fritz Meyerhof,12 April,1884,Germany,6 October,1951,USA,Physiology or Medicine,1922
Frederick Grant Banting,14 November,1891,Canada,21 February,1941,Canada,Physiology or Medicine,1923
John James Rickard Macleod,6 September,1876,Scotland,16 March,1935,Scotland,Physiology or Medicine,1923
Willem Einthoven,21 May,1860,Indonesia,29 September,1927,the Netherlands,Physiology or Medicine,1924
Johannes Andreas Grib Fibiger,23 April,1867,Denmark,30 January,1928,Denmark,Physiology or Medicine,1926
Julius Wagner-Jauregg,7 March,1857,Austria,27 September,1940,Austria,Physiology or Medicine,1927
Charles Jules Henri Nicolle,21 September,1866,France,28 February,1936,Tunisia,Physiology or Medicine,1928
Christiaan Eijkman,11 August,1858,the Netherlands,5 November,1930,the Netherlands,Physiology or Medicine,1929
Sir Frederick Gowland Hopkins,20 June,1861,United Kingdom,16 May,1947,United Kingdom,Physiology or Medicine,1929
Karl Landsteiner,14 June,1868,Austria,26 June,1943,USA,Physiology or Medicine,1930
Otto Heinrich Warburg,8 October,1883,Germany,1 August,1970,Germany,Physiology or Medicine,1931
Edgar Douglas Adrian,30 November,1889,United Kingdom,8 August,1977,United Kingdom,Physiology or Medicine,1932
Sir Charles Scott Sherrington,27 November,1857,United Kingdom,4 March,1952,United Kingdom,Physiology or Medicine,1932
Thomas Hunt Morgan,25 September,1866,USA,4 December,1945,USA,Physiology or Medicine,1933
George Richards Minot,2 December,1885,USA,25 February,1950,USA,Physiology or Medicine,1934
William Parry Murphy,6 February,1892,USA,9 October,1987,USA,Physiology or Medicine,1934
George Hoyt Whipple,28 August,1878,USA,1 February,1976,USA,Physiology or Medicine,1934
Hans Spemann,27 June,1869,Germany,12 September,1941,Germany,Physiology or Medicine,1935
